Gender,Age,Openness,Neuroticism,Conscientiousness,Agreeableness,Extraversion,Personality (Class label)
Male,19,4,4,3,4,4,Extraverted
Male,25,2,3,3,4,3,Agreeable
Male,31,4,3,4,3,3,Conscientious
Male,20,3,2,3,4,3,Agreeable
Male,39,4,4,4,3,3,Neurotic
Male,17,4,4,3,3,3,Neurotic
Male,21,3,4,3,3,2,Neurotic
Male,19,4,4,3,3,3,Neurotic
Male,52,4,3,4,3,4,Open
Female,48,3,3,4,4,3,Agreeable
Male,17,3,4,3,3,3,Neurotic
Male,19,3,4,2,4,3,Neurotic
Male,46,4,4,3,3,2,Neurotic
Female,17,4,2,3,3,3,Open
Male,17,2,4,3,3,4,Neurotic
Male,60,4,4,3,4,3,Neurotic
Male,27,4,4,4,3,3,Neurotic
Male,19,4,3,4,3,4,Conscientious
Male,26,3,4,3,3,3,Neurotic
Female,24,4,4,3,3,3,Neurotic
Male,19,3,4,4,3,3,Conscientious
Male,18,4,4,4,3,3,Neurotic
Female,18,4,3,3,3,3,Open
Female,23,4,4,3,3,3,Neurotic
Male,20,4,3,2,3,3,Open
Male,35,4,4,3,3,3,Open
Male,36,3,4,4,4,4,Extraverted
Female,20,3,2,4,4,3,Agreeable
Male,54,3,2,4,3,3,Conscientious
Female,17,4,4,3,4,4,Extraverted
Male,32,3,4,4,3,3,Neurotic
Male,49,4,3,3,3,3,Open
Male,47,4,3,3,3,3,Open
Male,23,4,4,3,3,3,Neurotic
Male,19,4,3,3,3,3,Open
Female,36,4,4,3,3,3,Neurotic
Male,21,4,4,4,3,3,Open
Male,21,4,4,4,3,2,Neurotic
Male,33,4,3,3,3,3,Open
Female,17,4,2,2,3,3,Open
Female,34,4,4,4,3,3,Neurotic
Male,22,4,2,3,3,3,Open
Male,19,3,4,3,3,2,Neurotic
Male,21,4,3,3,3,4,Open
Female,49,3,2,4,3,3,Conscientious
Male,18,3,3,3,4,4,Extraverted
Male,32,3,4,3,3,2,Neurotic
Male,60,4,3,3,3,3,Open
Male,22,4,4,3,4,3,Neurotic
Male,17,3,4,2,3,3,Neurotic
Male,17,3,3,4,4,3,Agreeable
Female,27,4,3,3,3,3,Open
Female,59,4,2,3,3,3,Open
Male,30,4,2,3,3,3,Open
Male,37,4,3,3,3,3,Open
Male,27,3,4,3,3,3,Neurotic
Male,18,4,4,3,3,3,Neurotic
Female,35,4,2,3,3,3,Open
Male,33,3,4,3,3,3,Neurotic
Female,26,4,3,4,3,2,Conscientious
Male,24,4,2,4,4,3,Agreeable
Male,31,3,4,3,4,3,Neurotic
Male,20,4,3,3,3,3,Open
Male,21,3,3,4,3,3,Conscientious
Male,24,4,4,3,4,3,Neurotic
Male,45,4,3,4,3,3,Conscientious
Female,20,4,2,3,3,3,Open
Male,21,3,4,4,3,3,Neurotic
Male,23,4,3,4,3,3,Open
Female,20,4,3,2,4,3,Open
Male,33,3,2,3,4,3,Agreeable
Male,17,3,4,3,3,3,Neurotic
Male,20,3,4,4,3,3,Neurotic
Female,25,4,2,4,3,3,Conscientious
Female,27,3,4,3,4,3,Neurotic
Female,29,4,2,3,3,3,Open
Female,29,3,2,3,3,4,Extraverted
Male,33,3,4,3,3,3,Neurotic
Female,26,4,3,3,3,3,Open
Female,30,4,3,4,4,3,Open
Female,27,4,4,3,3,4,Extraverted
Female,17,4,4,3,3,3,Neurotic
Female,18,4,3,3,2,3,Open
Male,20,3,2,3,4,3,Agreeable
Male,19,3,4,3,4,3,Neurotic
Female,23,3,3,3,4,3,Agreeable
Female,18,3,4,3,3,4,Extraverted
Male,18,3,2,3,4,4,Agreeable
Male,23,3,3,4,4,3,Agreeable
Male,22,3,3,3,4,3,Agreeable
Female,19,4,2,3,3,3,Open
Female,21,4,3,4,3,3,Open
Male,39,3,4,3,4,3,Neurotic
Female,26,4,2,3,4,3,Open
